Will|Ranger of the Nights Watch|Beheaded for desertion by Ned Stark|1|1|||0%
Jon Arryn|Hand to the King before Ned Stark|Poisoned by Lysa Arryn and Littlefinger|1|1|||0%
Jory Cassel|Captain of the guards to House Stark|Stabbed by Jaime Lannister through the eye|1|5|||0%
Viserys Targaryen|Exiled head of House Targaryen and brother to Daenerys Targaryen|Khal Drogo pours molten gold on his head at Daenerys command|1|6|||0%
Benjen Stark|First Ranger of the Nights Watch, Brother of Ned Stark|Unknown|1|7||He could have survived all this time or become a wight|15%
Robert Baratheon|Lord of the Seven Kingdoms|Mortally wounded by a wild boar after drinking wine given to him by Lancel Lannister at Cersei Lannisters command|1|7|||0%
Syrio Forel|Master sword fighter and Arya Starks instructor in combat|Presumably killed by Ser Meryn in a sword fight (he was only armed with a training sword)|1|8||We never actually see him die. He was a master swordsman after all.|30%
Eddard Stark|Hand of the King and Lord of the North|Beheaded by Ser Ilyn Payne at the order of Joffrey Baratheon|1|9|||0%
Drogo|Chieftain of the Dothraki people and husband of Daenerys Targaryen|Smothered by Daenerys Targaryen in a mercy killing after a spell by Mirri Maz Duur leaves him in a catatonic state|1|10||Unless its in another vision like Daenerys had in season 2|0%
Rhaego|Son of Khal Drogo and Khaleesi Daenerys Targaryen|Stillborn because of a blood magic ritual performed by Mirri Maz Duur|1|10|||0%
Mirri Maz Duur|Enslaved godswife|Burned alive on Drogos funeral pyre by Daenerys Targaryen|1|10|||0%
Rakharo|Dothraki bodyguard to Daenerys Targaryen|Killed and decapitated by a rival khalasar while scouting the Red Waste|2|2|||0%
Yoren|Recruiter for the Nights Watch|Killed by Ser Amory Lorch, loyal to House Lannister, in a fight|2|3|||0%
Renly Baratheon|Master of Laws, Claimant to the Iron Throne, brother of Robert and Stannis Baratheon|Killed by a shadow with Stannis Baratheons face that was birthed by Melisandre|2|5|||0%
Rodrik Cassel|Master-at-Arms at Winterfell, Servant of House Stark|Decapitated by Theon Greyjoy|2|6|||0%
Irri|Dothraki handmaiden to Daenerys Targaryen|Murdered during Xaro Xhoan Daxos theft of the dragons at Qarth|2|7|||0%
Maester Luwin|Maester of Winterfell|Osha ends his suffering after he is stabbed with a spear by ironborn raider Dagmer|2|10|||0%
Qhorin|Nights Watch ranger|Killed by Jon Snow (at Qhorins own behest) in order to trick the Wildlings into thinking Jon has left the Nights Watch|2|10|||0%
Pyat Pree|Warlock from Qarth, Member of the Thirteen|Burned alive by Daenerys Targaryens dragons|2|10|||0%
Doreah|Handmaiden to Daenerys Targaryen|Locked with Xaro Xhoan Daxos inside a Valyrian stone vault by Jorah Mormont at the order of Daenerys Targaryen|2|10||We didnt actually see her die|1%
Xaro Xhoan Daxos|Merchant in Qarth|Locked in a Valyrian stone vault by Jorah Mormont on the orders of Daenerys Targaryen|2|10||we didnt actually see him die|1%
Hoster Tully|Lord of Riverrun, Father of Edmure Tully, Catelyn Stark and Lysa Arryn|Illness|3|3|||0%
Jeor Mormont|Lord Commander of the Nights Watch|Stabbed to death by Nights Watchman Rast during a mutiny|3|4|||0%
Craster|A Wildling who lived with his daughter-wives beyond the Wall|Killed by Karl Tanner, a Nights Watchman|3|4|||0%
Kraznys|Salve-trader in Slavers Bay and one of the Good Masters|Burned alive by Drogon after he tries to trade the Unsullied for the dragon and insults Daenerys|3|4|||0%
Beric Dondarrion|Leader of Brotherhood Without Banners|Killed by the Hound in trial by combat|3|5||Hes already back! Thoros of Myr has resuscitated Dondarrion six times via prayers to the Lord of Light|100%
Ros|Prostitute in Littlefingers brothel and spy for Varys|Shot by Joffrey Baratheon with a crossbow|3|6|||0%
Talisa Stark|Wife of Robb Stark|Stabbed in the stomach while pregnant by Lothar Frey at the Red Wedding|3|9|||0%
Robb Stark|King of the North, son of Lord Eddard Stark and Lady Catelyn of Winterfell|Shot by a Frey crossbowman and then stabbed through the heart by Roose Bolton at the Red Wedding|3|9|||0%
Catelyn Stark|Wife of Eddard Stark, Mother of Robb, Sansa, Arya, Bran and Rickon|Throat slit by Black Walder Rivers at the Red Wedding|3|9|||0%
Polliver|Man-at-arms for House Lannister|Stabbed in the throat by Arya Stark|4|1|||0%
Tansy|Servant of House Bolton|Hunted down by Ramsay Snow and eaten by his dogs|4|2|||0%
Joffrey Baratheon|Lord of the Seven Kingdoms|Poisoned at the Purple Wedding by Olenna Tyrell and Littlefinger|4|2|||0%
Karl Tanner|Brother of the Nights Watch, leader of the mutiny at Crasters Keep|Impaled by Jon Snow during the raid on Crasters Keep|4|5|||0%
Locke|Man-at-arms for House Bolton|Neck snapped by Bran Stark while Bran is warging into Hodor|4|5|||0%
Rast|Ranger in the Nights Watch|Ripped apart by Jons direwolf, Ghost, during the raid on Crasters Keep|4|5|||0%
Lysa Arryn|Lady Regent of the Vale, sister to Catelyn Stark, briefly the wife of Littlefinger|Pushed out of the Moon Door by Littlefinger|4|7|||0%
Oberyn Martell|Prince of the House Martell|Skull crushed by the Mountain in a trial by combat|4|8|||0%
The Mountain|Knight and Head of House Clegane, loyal to House Lannister|Poisoned by the spear of Oberyn Martell in a trial by combat|4|8||Reanimated by Qyburn|100%
Grenn|Ranger in the Nights Watch|Killed fighting the giant Mag the Mighty in the Battle of Castle Black|4|9|||0%
